,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,al_1,115683.0,208367.0,327409.0,35.3328711183871,544464.0,60.13418701695613
1,al_2,70484.0,174437.0,247311.0,28.50014758745062,516295.0,47.90110305154999
2,al_3,98663.0,191488.0,293111.0,33.660626861496155,543854.0,53.895163040080604
3,al_4,49904.0,234143.0,286768.0,17.402220610388884,515701.0,55.6074159251194
4,al_5,126107.0,208805.0,340601.0,37.02484725529285,551968.0,61.70665690764682
5,al_6,40123.0,106941.0,148769.0,26.970000470528134,535753.0,27.76820661760177
6,al_7,50942.0,31430.0,82748.0,61.56281722821095,504177.0,16.41249005805501
