,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,ri_1,155185.0,83665.0,242379.0,64.02576130770406,395409.0,61.29830125262703
1,ri_2,153577.0,116346.0,273992.0,56.05163654413268,407668.0,67.20959211907729
