,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,wi_1,182942.0,220668.0,409363.0,44.689432117704825,539789.0,75.83759580132237
1,wi_2,323807.0,136439.0,466777.0,69.37081304348757,577976.0,80.76061981812394
2,wi_3,184306.0,202659.0,393809.0,46.80086031553367,566700.0,69.4916181401094
3,wi_4,242263.0,71833.0,317863.0,76.21616860093813,493143.0,64.45655722579454
4,wi_5,187851.0,255803.0,450097.0,41.73567031106628,558805.0,80.54634443142062
5,wi_6,170457.0,232820.0,409886.0,41.5864411080154,556485.0,73.6562530885828
6,wi_7,165104.0,248822.0,420340.0,39.278679164485894,552651.0,76.05885088419274
7,wi_8,174136.0,241140.0,421811.0,41.282944257025065,556205.0,75.83732616571228
