,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,co_1,357849.0,104539.0,473503.0,75.57481156402388,619349.0,76.4517259251246
1,co_2,338261.0,178561.0,530867.0,63.7185961832248,619285.0,85.72256715405669
2,co_3,200886.0,224996.0,436221.0,46.05142806054729,565901.0,77.08433100489309
3,co_4,198971.0,276309.0,487928.0,40.778762440360055,598599.0,81.51166306659383
4,co_5,184301.0,241369.0,441370.0,41.75657611527743,603967.0,73.07849601054363
5,co_6,260642.0,175729.0,447756.0,58.21072191104083,567801.0,78.85790972541436
6,co_7,263442.0,163104.0,439307.0,59.9676308367497,576138.0,76.25030808590996
