,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,in_1,177630.0,148554.0,331492.0,53.585003559663576,537218.0,61.705303992047924
1,in_2,116794.0,178385.0,300581.0,38.85608205442127,522778.0,57.49687247741871
2,in_3,112346.0,211169.0,330719.0,33.970228502142305,540022.0,61.24176422442049
3,in_4,117232.0,220013.0,345009.0,33.9794034358524,567094.0,60.838062120212875
4,in_5,200376.0,209669.0,418387.0,47.8925014400543,573500.0,72.95326939843069
5,in_6,96502.0,228217.0,331541.0,29.107108924688045,549035.0,60.386132031655535
6,in_7,177925.0,99811.0,283006.0,62.86969180865424,521076.0,54.311847024234474
7,in_8,108025.0,212185.0,326153.0,33.120958568524586,549149.0,59.39244175988666
8,in_9,135585.0,221516.0,364278.0,37.220199957175566,575308.0,63.318778810654464
