,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,md_1,157430.0,236906.0,402745.0,39.08925002172591,567926.0,70.91504879156791
1,md_2,225433.0,110901.0,342575.0,65.8054440633438,560167.0,61.155869588890454
2,md_3,263027.0,112328.0,382649.0,68.73845221077279,545892.0,70.09609959479164
3,md_4,286724.0,69533.0,362454.0,79.10631418055807,503398.0,72.0014779558123
4,md_5,276896.0,119771.0,403689.0,68.59141566899271,556897.0,72.48898808935942
5,md_6,227214.0,140735.0,375037.0,60.58442233699608,523698.0,71.6132198328044
6,md_7,261237.0,66703.0,333295.0,78.38011371307701,528398.0,63.076506724098124
7,md_8,287062.0,119537.0,414164.0,69.31119073603693,533774.0,77.59163990752641
