,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,or_1,298753.0,160808.0,472277.0,63.25800324809381,606198.0,77.908043246596
1,or_2,197922.0,261602.0,470391.0,42.07606012870144,619186.0,75.96925641083617
2,or_3,356659.0,112555.0,479782.0,74.33772004785507,627716.0,76.43297287308273
3,or_4,238619.0,219851.0,470962.0,50.666295794565166,638548.0,73.75514448404819
4,or_5,248430.0,203632.0,463820.0,53.56172653184424,606523.0,76.47195572138237
