,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,az_1,187182.0,180673.0,373579.0,50.10506479218586,568661.0,65.69449988657566
1,az_2,213408.0,171803.0,391436.0,54.51925729876659,550044.0,71.16448865908909
2,az_3,174882.0,99539.0,278497.0,62.79493136371307,500787.0,55.61186692146561
3,az_4,126024.0,280122.0,411938.0,30.592953308507592,633528.0,65.02285613264134
4,az_5,195270.0,262810.0,465598.0,41.93961314266814,587681.0,79.2263149565836
5,az_6,204365.0,222166.0,432328.0,47.270822153550085,577899.0,74.8103042227102
6,az_7,165129.0,55436.0,224168.0,73.66305627921915,454957.0,49.27234881538256
7,az_8,181691.0,251443.0,438952.0,41.39199730266635,599423.0,73.22908864024237
8,az_9,224192.0,137694.0,368798.0,60.78991751582167,562791.0,65.5301879383288
