,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,ky_1,85228.0,244122.0,334095.0,25.51010940002095,552530.0,60.46640001447885
1,ky_2,111859.0,246865.0,365139.0,30.634635029399764,577362.0,63.24264499568728
2,ky_3,221843.0,141027.0,369797.0,59.990481264044874,553926.0,66.75927831515402
3,ky_4,129335.0,250481.0,386856.0,33.43233658001944,565232.0,68.441984884083
4,ky_5,56153.0,241712.0,301591.0,18.618924304770367,537877.0,56.07062581222101
5,ky_6,168056.0,202439.0,377958.0,44.46419972589547,581992.0,64.94212978872562
