,CD,Biden,Trump,Total,Percentage_for_Biden,Voting_Age_Population,Voting_Rate
0,ma_1,224939.0,135655.0,367953.0,61.13253594888478,568024.0,64.77772065969044
1,ma_2,240547.0,140377.0,389490.0,61.75948034609361,558962.0,69.68094432179647
2,ma_3,243303.0,132757.0,383965.0,63.365931790658,543580.0,70.63633687773648
3,ma_4,276820.0,144654.0,429320.0,64.47871051896021,559943.0,76.67208983771563
4,ma_5,304072.0,97562.0,408381.0,74.4579204223507,535109.0,76.31734842807727
5,ma_6,279782.0,159252.0,446903.0,62.604636800379495,577241.0,77.4205227972372
6,ma_7,276091.0,43074.0,323587.0,85.32203086032504,558430.0,57.94584818150887
7,ma_8,283426.0,137738.0,428337.0,66.16892773680536,561241.0,76.31962027008005
8,ma_9,253222.0,176133.0,437139.0,57.9271124287698,573274.0,76.25306572424356
