Town,Precinct,CD,Biden,Trump,Total,Other
East Providence,East Providence 1013,1,940,514,1487,33
East Providence,East Providence 1014,1,1036,614,1678,28
East Providence,East Providence 1015,1,472,208,687,7
East Providence,East Providence 1016,1,565,413,993,15
East Providence,East Providence 1017,1,1002,685,1719,32
East Providence,East Providence 1018,1,386,241,640,13
East Providence,East Providence Limited,1,0,0,0,0
East Providence,East Providence Presidential,1,151,132,285,2
Exeter,Exeter 1101,2,616,539,1179,24
Exeter,Exeter 1102,2,551,626,1205,28
Exeter,Exeter 1103,2,792,823,1639,24
Exeter,Exeter Limited,2,0,0,0,0
Exeter,Exeter Presidential,2,15,21,36,0
Foster,Foster 1201,2,648,837,1515,30
Foster,Foster 1202,2,570,715,1305,20
Foster,Foster Limited,2,0,2,2,0
Foster,Foster Presidential,2,6,28,34,0
Glocester,Glocester 1301,2,883,1149,2063,31
Glocester,Glocester 1302,2,914,1170,2116,32
Glocester,Glocester 1303,2,191,265,462,6
Glocester,Glocester 1304,2,634,723,1371,14
Glocester,Glocester Limited,2,0,1,1,0
Glocester,Glocester Presidential,2,16,43,62,3
Hopkinton,Hopkinton 1401,2,978,1079,2102,45
Hopkinton,Hopkinton 1402,2,934,954,1930,42
Hopkinton,Hopkinton 1403,2,359,355,728,14
Hopkinton,Hopkinton Limited,2,0,0,0,0
Hopkinton,Hopkinton Presidential,2,27,35,62,0
Jamestown,Jamestown 1501,1,1525,640,2193,28
Jamestown,Jamestown 1502,1,1243,553,1826,30
Jamestown,Jamestown Limited,1,0,0,0,0
Jamestown,Jamestown Presidential,1,27,19,46,0
Johnston,Johnston 1601,2,522,603,1135,10
Johnston,Johnston 1602,2,556,690,1257,11
Johnston,Johnston 1603,2,679,650,1343,14
Johnston,Johnston 1604,2,633,836,1480,11
Johnston,Johnston 1605,2,554,750,1319,15
Johnston,Johnston 1606,2,147,153,303,3
Johnston,Johnston 1607,2,185,231,423,7
Johnston,Johnston 1608,2,738,752,1508,18
Johnston,Johnston 1609,2,495,657,1160,8
Johnston,Johnston 1610,2,843,961,1820,16
Johnston,Johnston 1611,2,444,452,906,10
Johnston,Johnston 1612,2,433,648,1090,9
Johnston,Johnston 1613,2,502,711,1224,11
Johnston,Johnston Limited,2,0,0,0,0
Johnston,Johnston Presidential,2,107,128,237,2
Lincoln,Lincoln 1701,1,1030,1214,2272,28
Lincoln,Lincoln 1702,1,577,412,1009,20
Lincoln,Lincoln 1703,1,699,632,1359,28
Lincoln,Lincoln 1704,1,1035,837,1907,35
Lincoln,Lincoln 1705,1,761,604,1388,23
Lincoln,Lincoln 1706,1,212,189,408,7
Lincoln,Lincoln 1707,1,226,204,433,3
Lincoln,Lincoln 1708,1,928,781,1727,18
Lincoln,Lincoln 1709,1,353,314,681,14
Lincoln,Lincoln 1710,1,382,254,645,9
Lincoln,Lincoln 1711,1,380,285,667,2
Lincoln,Lincoln Limited,1,1,0,1,0
Lincoln,Lincoln Presidential,1,49,53,103,1
Little Compton,Little Compton 1801,1,1515,935,2492,42
Little Compton,Little Compton Limited,1,0,0,0,0
Little Compton,Little Compton Presidential,1,9,16,25,0
Middletown,Middletown 1901,1,952,488,1460,20
Middletown,Middletown 1902,1,1056,553,1633,24
Middletown,Middletown 1903,1,1012,473,1515,30
Middletown,Middletown 1904,1,1415,717,2177,45
Middletown,Middletown 1905,1,1010,588,1626,28
Middletown,Middletown Limited,1,0,0,0,0
Middletown,Middletown Presidential,1,84,66,153,3
Narragansett,Narragansett 2001,2,138,95,234,1
Narragansett,Narragansett 2002,2,1312,814,2152,26
Narragansett,Narragansett 2003,2,1335,840,2194,19
Narragansett,Narragansett 2004,2,1325,884,2234,25
Narragansett,Narragansett 2005,2,1190,883,2086,13
Narragansett,Narragansett Limited,2,0,0,0,0
Narragansett,Narragansett Presidential,2,33,35,68,0
New Shoreham,New Shoreham 2201,2,729,190,923,4
New Shoreham,New Shoreham Limited,2,0,0,0,0
New Shoreham,New Shoreham Presidential,2,19,5,25,1
Newport,Newport 2101,1,867,294,1172,11
Newport,Newport 2102,1,1429,451,1905,25
Newport,Newport 2103,1,537,156,704,11
Newport,Newport 2104,1,439,105,546,2
Newport,Newport 2105,1,1106,368,1497,23
Newport,Newport 2106,1,1277,476,1765,12
Newport,Newport 2107,1,1170,528,1720,22
Newport,Newport 2108,1,645,173,826,8
Newport,Newport 2109,1,300,60,364,4
Newport,Newport Limited,1,1,0,1,0
Newport,Newport Presidential,1,95,51,151,5
North Kingstown,North Kingstown 2301,2,882,663,1569,24
North Kingstown,North Kingstown 2302,2,1402,851,2282,29
North Kingstown,North Kingstown 2303,2,1175,839,2047,33
North Kingstown,North Kingstown 2304,2,1124,884,2042,34
North Kingstown,North Kingstown 2305,2,742,500,1267,25
North Kingstown,North Kingstown 2306,2,733,464,1220,23
North Kingstown,North Kingstown 2307,2,1484,742,2262,36
North Kingstown,North Kingstown 2308,2,1446,811,2299,42
North Kingstown,North Kingstown 2309,2,1481,812,2330,37
North Kingstown,North Kingstown Limited,2,0,3,3,0
North Kingstown,North Kingstown Presidential,2,65,64,132,3
North Providence,North Providence 2401,1,486,339,842,17
North Providence,North Providence 2402,1,704,452,1175,19
North Providence,North Providence 2403,1,652,505,1172,15
North Providence,North Providence 2404,1,402,284,697,11
North Providence,North Providence 2405,1,525,362,900,13
North Providence,North Providence 2406,1,737,525,1273,11
North Providence,North Providence 2407,1,672,627,1309,10
North Providence,North Providence 2408,1,659,433,1104,12
North Providence,North Providence 2409,1,369,229,601,3
North Providence,North Providence 2410,1,528,418,951,5
North Providence,North Providence 2411,1,637,636,1285,12
North Providence,North Providence 2412,1,697,550,1273,26
North Providence,North Providence 2413,1,379,318,712,15
North Providence,North Providence 2414,1,384,295,689,10
North Providence,North Providence 2415,1,475,299,790,16
North Providence,North Providence 2416,1,990,775,1786,21
North Providence,North Providence Limited,1,0,0,0,0
North Providence,North Providence Presidential,1,142,82,226,2
North Smithfield,North Smithfield 2501,1,755,869,1658,34
North Smithfield,North Smithfield 2502,1,874,882,1776,20
North Smithfield,North Smithfield 2503,1,730,734,1491,27
North Smithfield,North Smithfield 2504,1,739,656,1415,20
North Smithfield,North Smithfield 2505,1,391,375,780,14
North Smithfield,North Smithfield Limited,1,0,2,2,0
North Smithfield,North Smithfield Presidential,1,18,32,50,0
Pawtucket,Pawtucket 2601,1,270,86,366,10
Pawtucket,Pawtucket 2602,1,581,139,722,2
Pawtucket,Pawtucket 2603,1,1141,459,1620,20
Pawtucket,Pawtucket 2604,1,579,264,849,6
Pawtucket,Pawtucket 2605,1,398,107,510,5
Pawtucket,Pawtucket 2606,1,489,122,615,4
Pawtucket,Pawtucket 2607,1,1461,273,1761,27
Pawtucket,Pawtucket 2608,1,1195,256,1473,22
Pawtucket,Pawtucket 2609,1,158,51,213,4
Pawtucket,Pawtucket 2610,1,110,21,133,2
Pawtucket,Pawtucket 2611,1,515,127,652,10
Pawtucket,Pawtucket 2612,1,681,338,1036,17
Pawtucket,Pawtucket 2613,1,887,315,1224,22
Pawtucket,Pawtucket 2614,1,825,268,1100,7
Pawtucket,Pawtucket 2615,1,350,80,434,4
Pawtucket,Pawtucket 2616,1,166,71,239,2
Pawtucket,Pawtucket 2617,1,215,71,288,2
Pawtucket,Pawtucket 2618,1,1092,655,1773,26
Pawtucket,Pawtucket 2619,1,599,337,946,10
Pawtucket,Pawtucket 2620,1,1146,597,1773,30
Pawtucket,Pawtucket 2621,1,305,202,514,7
Pawtucket,Pawtucket 2622,1,172,124,300,4
Pawtucket,Pawtucket 2623,1,288,146,444,10
Pawtucket,Pawtucket 2624,1,304,179,490,7
Pawtucket,Pawtucket 2625,1,309,107,421,5
Pawtucket,Pawtucket 2626,1,111,36,148,1
Pawtucket,Pawtucket 2627,1,661,270,946,15
Pawtucket,Pawtucket 2628,1,875,590,1492,27
Pawtucket,Pawtucket 2629,1,1200,671,1898,27
Pawtucket,Pawtucket 2630,1,94,42,138,2
Pawtucket,Pawtucket 2631,1,499,120,627,8
Pawtucket,Pawtucket Limited,1,5,3,8,0
Pawtucket,Pawtucket Presidential,1,372,130,514,12
Portsmouth,Portsmouth 2701,1,72,43,119,4
Portsmouth,Portsmouth 2702,1,200,117,323,6
Portsmouth,Portsmouth 2703,1,1070,562,1666,34
Portsmouth,Portsmouth 2704,1,1433,861,2336,42
Portsmouth,Portsmouth 2705,1,450,316,780,14
Portsmouth,Portsmouth 2706,1,454,309,775,12
Portsmouth,Portsmouth 2707,1,1374,885,2306,47
Portsmouth,Portsmouth 2708,1,1532,852,2424,40
Portsmouth,Portsmouth Limited,1,3,1,4,0
Portsmouth,Portsmouth Presidential,1,61,49,111,1
Providence (pt.),Providence 2801,1,96,37,134,1
Providence (pt.),Providence 2802,1,200,27,232,5
Providence (pt.),Providence 2803,1,1343,138,1498,17
Providence (pt.),Providence 2804,1,232,17,256,7
Providence (pt.),Providence 2805,1,1738,177,1938,23
Providence (pt.),Providence 2806,1,126,12,139,1
Providence (pt.),Providence 2807,1,4,0,4,0
Providence (pt.),Providence 2808,1,1140,135,1293,18
Providence (pt.),Providence 2809,1,1399,138,1553,16
Providence (pt.),Providence 2810,1,98,12,110,0
Providence (pt.),Providence 2811,1,833,165,1012,14
Providence (pt.),Providence 2812,1,849,228,1094,17
Providence (pt.),Providence 2813,1,598,116,723,9
Providence (pt.),Providence 2814,1,429,96,533,8
Providence (pt.),Providence 2815,1,957,195,1168,16
Providence (pt.),Providence 2816,1,1902,239,2164,23
Providence (pt.),Providence 2817,1,1970,213,2212,29
Providence (pt.),Providence 2818,1,1174,146,1343,23
Providence (pt.),Providence 2819,1,1104,406,1529,19
Providence (pt.),Providence 2820,1,134,67,203,2
Providence (pt.),Providence 2821,1,784,183,980,13
Providence (pt.),Providence 2822,1,248,36,286,2
Providence (pt.),Providence 2823,1,915,247,1172,10
Providence (pt.),Providence 2824,1,1151,334,1501,16
Providence (pt.),Providence 2825,1,154,42,200,4
Providence (pt.),Providence 2826,1,917,173,1104,14
Providence (pt.),Providence 2827,1,925,197,1127,5
Providence (pt.),Providence 2828,1,702,152,866,12
