County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Galveston,Galveston,14,"58,842","93,911","155,059",,,,,,,,,,,,,,,,,,,,,
Garza,Garza,19,231,"1,413","1,653",,,,,,,,,,,,,,,,,,,,,
Gillespie,Gillespie,21,"3,176","12,514","15,846",,,,,,,,,,,,,,,,,,,,,
Glasscock,Glasscock,11,39,611,653,,,,,,,,,,,,,,,,,,,,,
Goliad,Goliad,34,877,"3,085","3,988",,,,,,,,,,,,,,,,,,,,,
Gray,Gray,13,829,"6,840","7,782",,,,,,,,,,,,,,,,,,,,,
Grayson,Grayson,4,"14,506","44,163","59,439",,,,,,,,,,,,,,,,,,,,,
Gregg,Gregg,1,"14,796","32,493","47,953",,,,,,,,,,,,,,,,,,,,,
Grimes,Grimes,8,"2,833","9,432","12,413",,,,,,,,,,,,,,,,,,,,,
Hale,Hale,19,"2,279","7,177","9,584",,,,,,,,,,,,,,,,,,,,,
Hall,Hall,13,168,995,"1,168",,,,,,,,,,,,,,,,,,,,,
Hamilton,Hamilton,25,641,"3,616","4,349",,,,,,,,,,,,,,,,,,,,,
Hansford,Hansford,13,166,"1,849","2,045",,,,,,,,,,,,,,,,,,,,,
Hardeman,Hardeman,13,241,"1,330","1,580",,,,,,,,,,,,,,,,,,,,,
Hardin,Hardin,36,"3,474","23,858","27,635",,,,,,,,,,,,,,,,,,,,,
Harrison,Harrison,1,"7,908","21,466","29,710",,,,,,,,,,,,,,,,,,,,,
Hartley,Hartley,13,195,"1,868","2,078",,,,,,,,,,,,,,,,,,,,,
Haskell,Haskell,19,353,"1,840","2,214",,,,,,,,,,,,,,,,,,,,,
Hemphill,Hemphill,13,206,"1,486","1,720",,,,,,,,,,,,,,,,,,,,,
Henderson,Henderson,5,"7,060","28,911","36,310",,,,,,,,,,,,,,,,,,,,,
Hill,Hill,25,"2,860","11,926","14,931",,,,,,,,,,,,,,,,,,,,,
Hockley,Hockley,19,"1,482","6,536","8,095",,,,,,,,,,,,,,,,,,,,,
Hood,Hood,11,"5,648","26,496","32,534",,,,,,,,,,,,,,,,,,,,,
Hopkins,Hopkins,4,"3,046","12,719","15,939",,,,,,,,,,,,,,,,,,,,,
Houston,Houston,8,"2,314","7,060","9,437",,,,,,,,,,,,,,,,,,,,,
Howard,Howard,19,"2,069","8,054","10,240",,,,,,,,,,,,,,,,,,,,,
Hudspeth,Hudspeth,23,371,779,"1,165",,,,,,,,,,,,,,,,,,,,,
Hunt,Hunt,4,"8,906","29,163","38,574",,,,,,,,,,,,,,,,,,,,,
Hutchinson,Hutchinson,13,965,"7,681","8,771",,,,,,,,,,,,,,,,,,,,,
Irion,Irion,11,120,759,889,,,,,,,,,,,,,,,,,,,,,
Jack,Jack,13,331,"3,418","3,782",,,,,,,,,,,,,,,,,,,,,
Jackson,Jackson,27,"1,033","5,231","6,340",,,,,,,,,,,,,,,,,,,,,
Jasper,Jasper,36,"2,954","12,542","15,608",,,,,,,,,,,,,,,,,,,,,
Jeff Davis,JeffDavis,23,501,784,"1,305",,,,,,,,,,,,,,,,,,,,,
Jefferson,Jefferson,14,"46,073","47,570","94,739",,,,,,,,,,,,,,,,,,,,,
Jim Hogg,JimHogg,15,"1,197",833,"2,036",,,,,,,,,,,,,,,,,,,,,
Jim Wells,JimWells,34,"6,119","7,453","13,669",,,,,,,,,,,,,,,,,,,,,
Johnson,Johnson,25,"16,464","54,628","72,005",,,,,,,,,,,,,,,,,,,,,
Jones,Jones,19,999,"5,660","6,741",,,,,,,,,,,,,,,,,,,,,
Karnes,Karnes,15,"1,234","3,968","5,249",,,,,,,,,,,,,,,,,,,,,
Kaufman,Kaufman,5,"18,405","37,624","56,703",,,,,,,,,,,,,,,,,,,,,
Kendall,Kendall,21,"6,020","20,083","26,438",,,,,,,,,,,,,,,,,,,,,
Kenedy,Kenedy,34,65,127,194,,,,,,,,,,,,,,,,,,,,,
Kent,Kent,19,47,411,462,,,,,,,,,,,,,,,,,,,,,
Kerr,Kerr,21,"6,524","20,879","27,737",,,,,,,,,,,,,,,,,,,,,
Kimble,Kimble,11,284,"1,987","2,292",,,,,,,,,,,,,,,,,,,,,
King,King,13,8,151,159,,,,,,,,,,,,,,,,,,,,,
Kinney,Kinney,23,446,"1,144","1,603",,,,,,,,,,,,,,,,,,,,,
Kleberg,Kleberg,34,"5,314","5,504","10,944",,,,,,,,,,,,,,,,,,,,,
Knox,Knox,13,265,"1,180","1,456",,,,,,,,,,,,,,,,,,,,,
Lamar,Lamar,4,"4,458","16,760","21,418",,,,,,,,,,,,,,,,,,,,,
Lamb,Lamb,19,840,"3,521","4,408",,,,,,,,,,,,,,,,,,,,,
Lampasas,Lampasas,25,"2,144","8,086","10,399",,,,,,,,,,,,,,,,,,,,,
Lavaca,Lavaca,27,"1,333","8,804","10,191",,,,,,,,,,,,,,,,,,,,,
Liberty,Liberty,36,"5,785","23,302","29,334",,,,,,,,,,,,,,,,,,,,,
Limestone,Limestone,17,"2,213","6,789","9,095",,,,,,,,,,,,,,,,,,,,,
Lipscomb,Lipscomb,13,131,"1,205","1,353",,,,,,,,,,,,,,,,,,,,,
Live Oak,LiveOak,15,819,"4,199","5,054",,,,,,,,,,,,,,,,,,,,,
Llano,Llano,11,"2,465","10,079","12,659",,,,,,,,,,,,,,,,,,,,,
Loving,Loving,23,4,60,66,,,,,,,,,,,,,,,,,,,,,
Lubbock,Lubbock,19,"40,017","78,861","120,771",,,,,,,,,,,,,,,,,,,,,
Lynn,Lynn,19,428,"1,853","2,293",,,,,,,,,,,,,,,,,,,,,
Madison,Madison,8,"1,088","4,169","5,297",,,,,,,,,,,,,,,,,,,,,
Marion,Marion,4,"1,339","3,470","4,864",,,,,,,,,,,,,,,,,,,,,
Martin,Martin,11,288,"1,857","2,160",,,,,,,,,,,,,,,,,,,,,
Mason,Mason,11,457,"1,991","2,469",,,,,,,,,,,,,,,,,,,,,
Matagorda,Matagorda,27,"3,733","9,845","13,726",,,,,,,,,,,,,,,,,,,,,
Maverick,Maverick,23,"8,332","6,881","15,346",,,,,,,,,,,,,,,,,,,,,
McCulloch,McCulloch,11,490,"2,904","3,436",,,,,,,,,,,,,,,,,,,,,
McLennan,McLennan,17,"36,688","59,543","97,771",,,,,,,,,,,,,,,,,,,,,
McMullen,McMullen,28,53,460,516,,,,,,,,,,,,,,,,,,,,,
Medina,Medina,23,"6,773","15,642","22,644",,,,,,,,,,,,,,,,,,,,,
Menard,Menard,11,197,823,"1,028",,,,,,,,,,,,,,,,,,,,,
Midland,Midland,11,"12,329","45,624","58,856",,,,,,,,,,,,,,,,,,,,,
Milam,Milam,17,"2,496","7,984","10,576",,,,,,,,,,,,,,,,,,,,,
Mills,Mills,11,271,"2,217","2,505",,,,,,,,,,,,,,,,,,,,,
Mitchell,Mitchell,11,397,"2,170","2,579",,,,,,,,,,,,,,,,,,,,,
Montague,Montague,13,"1,097","8,615","9,814",,,,,,,,,,,,,,,,,,,,,
Montgomery,Montgomery,8,"74,377","193,382","271,451",,,,,,,,,,,,,,,,,,,,,
Moore,Moore,13,"1,062","4,359","5,508",,,,,,,,,,,,,,,,,,,,,
Morris,Morris,4,"1,669","3,872","5,587",,,,,,,,,,,,,,,,,,,,,
Motley,Motley,13,46,604,652,,,,,,,,,,,,,,,,,,,,,
Nacogdoches,Nacogdoches,1,"9,000","17,378","26,763",,,,,,,,,,,,,,,,,,,,,
Navarro,Navarro,6,"5,101","13,800","19,121",,,,,,,,,,,,,,,,,,,,,
Newton,Newton,36,"1,173","4,882","6,094",,,,,,,,,,,,,,,,,,,,,
Nolan,Nolan,19,"1,162","4,131","5,356",,,,,,,,,,,,,,,,,,,,,
Nueces,Nueces,27,"60,925","64,617","127,314",,,,,,,,,,,,,,,,,,,,,
Ochiltree,Ochiltree,13,302,"2,812","3,154",,,,,,,,,,,,,,,,,,,,,
Oldham,Oldham,13,81,917,"1,009",,,,,,,,,,,,,,,,,,,,,
Orange,Orange,36,"6,357","29,186","35,970",,,,,,,,,,,,,,,,,,,,,
