County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,17,"51,923","20,525","73,912","1,464",,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,21,"94,171","28,255","124,792","2,366",,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,25,"113,525","60,655","177,020","2,840",,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,35,"68,828","14,533","84,983","1,622",,,,,,,,,,,,,,,,,,,,
Upshur (pt.),Upshur,1,988,"4,287","5,347",72,,,,,,,,,,,,,,,,,,,,
Upshur (pt.),Upshur,4,"1,889","11,522","13,540",129,,,,,,,,,,,,,,,,,,,,
Wilson (pt.),Wilson,15,325,"1,777","2,118",16,,,,,,,,,,,,,,,,,,,,
Wilson (pt.),Wilson,28,"6,025","16,686","22,885",174,,,,,,,,,,,,,,,,,,,,
Wise (pt.),Wise,12,"2,184","9,642","12,003",177,,,,,,,,,,,,,,,,,,,,
Wise (pt.),Wise,13,"2,789","17,390","20,359",180,,,,,,,,,,,,,,,,,,,,
Wood (pt.),Wood,1,"1,376","7,294","8,747",77,,,,,,,,,,,,,,,,,,,,
Wood (pt.),Wood,5,"2,133","11,755","14,026",138,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split E/A/P Votes,,,,,,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bell (pt.),Bell,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bell (pt.),Bell,31,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,20,320,171,499,7,,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,21,131,122,257,4,,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,23,151,136,291,4,,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,28,74,59,135,2,,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,35,134,60,197,3,,,,,,,,,,,,,,,,,,,,
Brazoria (pt.),Brazoria,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Brazoria (pt.),Brazoria,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Caldwell (pt.),Caldwell,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Caldwell (pt.),Caldwell,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,32,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Comal (pt.),Comal,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Comal (pt.),Comal,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,32,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,33,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Denton (pt.),Denton,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Denton (pt.),Denton,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,
El Paso (pt.),ElPaso,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,
El Paso (pt.),ElPaso,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Erath (pt.),Erath,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Erath (pt.),Erath,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Floyd (pt.),Floyd,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Floyd (pt.),Floyd,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Fort Bend (pt.),FortBend,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Fort Bend (pt.),FortBend,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Gonzales (pt.),Gonzales,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Gonzales (pt.),Gonzales,34,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Guadalupe (pt.),Guadalupe,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Guadalupe (pt.),Guadalupe,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,29,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,36,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,21,60,53,116,3,,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,25,63,80,145,3,,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,35,114,61,180,5,,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,34,0,0,0,0,,,,,,,,,,,,,,,,,,,,
LaSalle (pt.),LaSalle,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,
LaSalle (pt.),LaSalle,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Lee (pt.),Lee,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Lee (pt.),Lee,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Leon (pt.),Leon,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Leon (pt.),Leon,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,
San Patricio (pt.),SanPatricio,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,
San Patricio (pt.),SanPatricio,34,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Stephens (pt.),Stephens,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Stephens (pt.),Stephens,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,33,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Upshur (pt.),Upshur,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Upshur (pt.),Upshur,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wilson (pt.),Wilson,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wilson (pt.),Wilson,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wise (pt.),Wise,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wise (pt.),Wise,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wood (pt.),Wood,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wood (pt.),Wood,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total E/A/P Votes,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bell (pt.),Bell,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,EV,810,548,1378,20,,,,,,,,,,,,,,,,,,,,
Brazoria (pt.),Brazoria,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Caldwell (pt.),Caldwell,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Comal (pt.),Comal,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Denton (pt.),Denton,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
El Paso (pt.),ElPaso,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Erath (pt.),Erath,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Floyd (pt.),Floyd,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Fort Bend (pt.),FortBend,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Gonzales (pt.),Gonzales,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Guadalupe (pt.),Guadalupe,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,EV,237,193,441,11,,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
LaSalle (pt.),LaSalle,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Lee (pt.),Lee,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Leon (pt.),Leon,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
San Patricio (pt.),SanPatricio,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Stephens (pt.),Stephens,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Upshur (pt.),Upshur,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wilson (pt.),Wilson,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wise (pt.),Wise,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wood (pt.),Wood,EV,0,0,0,0,,,,,,,,,,,,,,,,,,,,
