Town,Precinct,CD,Biden,Trump,Total
West Hartford,Conard High School,1,2684,1036,3776
West Hartford,Hall High School,1,2421,708,3176
West Hartford,King Philip Middle School,1,2538,867,3452
West Hartford,Sedgwick Middle School,1,2750,889,3706
West Hartford,West Hartford Town Hall,1,3869,827,4755
West Hartford,Wolcott School,1,2620,1127,3812
West Haven,Ann V. Molloy School,3,1518,438,1973
West Haven,Elks Lodge #1537,3,1806,740,2580
West Haven,Forest School,3,1573,577,2171
West Haven,John Prete Senior Housing,3,1255,287,1555
West Haven,Mackrille School,3,1476,1214,2717
West Haven,Pagels School,3,1414,1339,2781
West Haven,Seth Haley School,3,1661,1587,3285
West Haven,St Paul's Church Hall,3,996,316,1319
West Haven,Surfside Senior Housing,3,1109,810,1947
West Haven,Washington School,3,1437,818,2277
Westbrook,Teresa Mulvey Municipal Center - 1,2,1296,1105,2444
Westbrook,Theresa Mulvey Municipal Center - 2,2,992,853,1865
Weston,Weston Middle School - 26,4,2780,1012,3861
Weston,Weston Middle School - 28,4,1953,668,2661
Westport,Coleytown Elementary School Gymnasium,4,2879,938,3875
Westport,Greens Farms Elementary School Auditorium,4,1164,365,1550
Westport,Greens Farms Elementary School Gym,4,1646,528,2198
Westport,Long Lots Elementary School Gym,4,2985,965,4015
Westport,Saugatuck Elementary School Gym,4,925,360,1299
Westport,Saugatuck Elementary School Gym,4,1979,608,2632
Westport,Westport Library 136-6,4,1470,458,1953
Wethersfield,Emerson Williams School,1,1620,1115,2768
Wethersfield,Incarnation Church Hall,1,1584,1485,3122
Wethersfield,Keeney Cultural Center,1,1000,511,1541
Wethersfield,Pitkin Community Center,1,2046,1053,3154
Wethersfield,Webb Elementary School,1,1928,1283,3253
Wethersfield,Wethersfield United Methodist Church,1,1434,966,2436
Willington,Hall Memorial School Gymnasium,2,1674,1445,3200
Wilton,Cider Mill School - District 2,4,2732,1380,4198
Wilton,Middlebrook School - District 3,4,2339,1180,3575
Wilton,Wilton High School - District 1,4,2605,1259,3940
Winchester,Pearson School,1,2304,2799,5133
Windham,Bpo Elks 1311,2,635,361,1028
Windham,Bpo Elks 1311,2,1692,745,2481
Windham,Elks,2,339,130,478
Windham,Vfw,2,1456,563,2047
Windham,Windham Center Fire Dept,2,1243,1025,2311
Windsor,330 Windsor Avenue,1,2286,286,2594
Windsor,John F Kennedy School,1,2525,716,3291
Windsor,L. P. Wilson,1,1440,207,1662
Windsor,Oliver Ellsworth School,1,2357,1035,3460
Windsor,Poquonock School,1,2278,854,3174
Windsor,Rainbow Firehouse,1,1118,591,1733
Windsor,Windsor Town Hall,1,1179,401,1595
Windsor Locks,Mario Gatti Town Hall,1,1894,1517,3479
Windsor Locks,Windsor Locks High School,1,1857,1639,3541
Wolcott,Tyrrell Middle School,5,1124,1918,3097
Wolcott,Wakelee,5,1092,2135,3275
Wolcott,Wolcott High School,5,1117,2466,3626
Woodbridge,Center School 1,3,3254,1473,4786
Woodbridge,Center School 2,3,601,343,953
Woodbury,Senior/ Community Center - O&G Room,5,2882,2929,5886
Woodbury,Senior/ Community Center -- Activity Room,5,299,366,673
Woodstock,Woodstock Town Hall,2,2548,2520,5178
