County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Dorchester (pt.),Dorchester,1,69,85,161,7,,,,,,,,,,,,,,,,,,,,
Dorchester (pt.),Dorchester,6,11,13,25,1,,,,,,,,,,,,,,,,,,,,
Florence (pt.),Florence,6,2,2,4,0,,,,,,,,,,,,,,,,,,,,
Florence (pt.),Florence,7,15,26,42,1,,,,,,,,,,,,,,,,,,,,
Greenville (pt.),Greenville,3,70,130,206,7,,,,,,,,,,,,,,,,,,,,
Greenville (pt.),Greenville,4,484,818,1352,49,,,,,,,,,,,,,,,,,,,,
Newberry (pt.),Newberry,3,4,4,8,0,,,,,,,,,,,,,,,,,,,,
Newberry (pt.),Newberry,5,22,14,36,0,,,,,,,,,,,,,,,,,,,,
Orangeburg (pt.),Orangeburg,2,10,9,19,0,,,,,,,,,,,,,,,,,,,,
Orangeburg (pt.),Orangeburg,6,51,18,69,0,,,,,,,,,,,,,,,,,,,,
Richland (pt.),Richland,2,125,70,200,6,,,,,,,,,,,,,,,,,,,,
Richland (pt.),Richland,6,117,19,140,3,,,,,,,,,,,,,,,,,,,,
Spartanburg (pt.),Spartanburg,4,250,363,622,9,,,,,,,,,,,,,,,,,,,,
Spartanburg (pt.),Spartanburg,5,10,33,43,0,,,,,,,,,,,,,,,,,,,,
Sumter (pt.),Sumter,5,54,39,94,1,,,,,,,,,,,,,,,,,,,,
Sumter (pt.),Sumter,6,17,4,21,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total E/A/P Votes,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort (pt.),Beaufort,EV,249,323,588,16,,,,,,,,,,,,,,,,,,,,
Berkeley (pt.),Berkeley,EV,109,135,247,3,,,,,,,,,,,,,,,,,,,,
Charleston (pt.),Charleston,EV,485,370,876,21,,,,,,,,,,,,,,,,,,,,
Colleton (pt.),Colleton,EV,31,40,71,0,,,,,,,,,,,,,,,,,,,,
Dorchester (pt.),Dorchester,EV,80,98,186,8,,,,,,,,,,,,,,,,,,,,
Florence (pt.),Florence,EV,17,28,46,1,,,,,,,,,,,,,,,,,,,,
Greenville (pt.),Greenville,EV,554,948,1558,56,,,,,,,,,,,,,,,,,,,,
Newberry (pt.),Newberry,EV,26,18,44,0,,,,,,,,,,,,,,,,,,,,
Orangeburg (pt.),Orangeburg,EV,61,27,88,0,,,,,,,,,,,,,,,,,,,,
Richland (pt.),Richland,EV,242,89,340,9,,,,,,,,,,,,,,,,,,,,
Spartanburg (pt.),Spartanburg,EV,260,396,665,9,,,,,,,,,,,,,,,,,,,,
Sumter (pt.),Sumter,EV,71,43,115,1,,,,,,,,,,,,,,,,,,,,
