County,ShortName,CD,Biden,Trump,Total
Kent,Kent,AL,"44,552","41,009","87,025"
New Castle,NewCastle,AL,"195,034","88,364","287,633"
Sussex,Sussex,AL,"56,682","71,230","129,352"
