County,ShortName,CD,Biden,Trump,Total,
Clarke (pt.),Clarke,9,4494,1604,6194,96
Clarke (pt.),Clarke,10,31561,12846,45152,745
Clayton (pt.),Clayton,5,33437,5854,39672,381
Clayton (pt.),Clayton,13,62029,9957,72658,672
Cobb (pt.),Cobb,6,56013,56984,115113,"2,116"
Cobb (pt.),Cobb,11,101631,84460,189244,"3,153"
Cobb (pt.),Cobb,13,64203,23992,89371,"1,176"
Columbia (pt.),Columbia,10,3429,8008,11611,174
Columbia (pt.),Columbia,12,25803,42005,68964,"1,156"
DeKalb (pt.),DeKalb,4,167794,18763,188324,"1,768"
DeKalb (pt.),DeKalb,5,83495,9212,93788,"1,080"
DeKalb (pt.),DeKalb,6,56873,30402,88634,"1,359"
Effingham (pt.),Effingham,1,4882,14348,19532,302
Effingham (pt.),Effingham,12,2836,9013,12039,190
Fayette (pt.),Fayette,3,25062,33786,59692,844
Fayette (pt.),Fayette,13,8000,4170,12302,132
Forsyth (pt.),Forsyth,7,33768,57099,92209,"1,342"
Forsyth (pt.),Forsyth,9,8440,28024,37102,638
Fulton (pt.),Fulton,5,196126,30855,229696,"2,715"
Fulton (pt.),Fulton,6,106725,87724,197189,"2,740"
Fulton (pt.),Fulton,11,15152,13213,28707,342
Fulton (pt.),Fulton,13,62209,5455,68187,523
Gwinnett (pt.),Gwinnett,4,56258,25657,82888,974
Gwinnett (pt.),Gwinnett,7,165375,118110,287549,"4,063"
Gwinnett (pt.),Gwinnett,10,20361,22633,43586,592
Henry (pt.),Henry,3,23481,13816,37722,425
Henry (pt.),Henry,10,11218,17542,29091,331
Henry (pt.),Henry,13,38744,16901,56185,540
Lowndes (pt.),Lowndes,1,802,1080,1908,26
Lowndes (pt.),Lowndes,8,19314,24612,44447,521
Muscogee (pt.),Muscogee,2,40510,16360,57494,624
Muscogee (pt.),Muscogee,3,8936,13747,23020,337
Newton (pt.),Newton,4,26446,14959,41825,420
Newton (pt.),Newton,10,3343,8910,12409,156
Pickens (pt.),Pickens,9,2093,8905,11146,147
Pickens (pt.),Pickens,14,731,5205,6021,86
