County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,
Osborne,Osborne,1,281,1629,1945,,,,,,,,,,,,,,,,,,,,
Ottawa,Ottawa,1,506,2610,3191,,,,,,,,,,,,,,,,,,,,
Phillips,Phillips,1,318,2418,2781,,,,,,,,,,,,,,,,,,,,
Pottawatomie,Pottawatomie,1,3313,9452,13083,,,,,,,,,,,,,,,,,,,,
Pratt,Pratt,4,933,3108,4137,,,,,,,,,,,,,,,,,,,,
Rawlins,Rawlins,1,214,1261,1504,,,,,,,,,,,,,,,,,,,,
Reno,Reno,1,8886,18443,27941,,,,,,,,,,,,,,,,,,,,
Republic,Republic,1,424,2182,2657,,,,,,,,,,,,,,,,,,,,
Rice,Rice,1,965,3262,4319,,,,,,,,,,,,,,,,,,,,
Riley,Riley,1,12765,11610,25171,,,,,,,,,,,,,,,,,,,,
Rooks,Rooks,1,339,2325,2699,,,,,,,,,,,,,,,,,,,,
Rush,Rush,1,295,1350,1677,,,,,,,,,,,,,,,,,,,,
Russell,Russell,1,600,2790,3467,,,,,,,,,,,,,,,,,,,,
Saline,Saline,1,8214,15722,24531,,,,,,,,,,,,,,,,,,,,
Scott,Scott,1,299,2014,2354,,,,,,,,,,,,,,,,,,,,
Sedgwick,Sedgwick,4,95870,122416,223688,,,,,,,,,,,,,,,,,,,,
Seward,Seward,1,1833,3372,5294,,,,,,,,,,,,,,,,,,,,
Shawnee,Shawnee,2,43015,40443,85657,,,,,,,,,,,,,,,,,,,,
Sheridan,Sheridan,1,147,1282,1445,,,,,,,,,,,,,,,,,,,,
Sherman,Sherman,1,396,2269,2727,,,,,,,,,,,,,,,,,,,,
Smith,Smith,1,336,1763,2129,,,,,,,,,,,,,,,,,,,,
Stafford,Stafford,4,357,1645,2034,,,,,,,,,,,,,,,,,,,,
Stanton,Stanton,1,148,614,776,,,,,,,,,,,,,,,,,,,,
Stevens,Stevens,1,237,1760,2031,,,,,,,,,,,,,,,,,,,,
Sumner,Sumner,4,2591,8105,10928,,,,,,,,,,,,,,,,,,,,
Thomas,Thomas,1,625,3130,3810,,,,,,,,,,,,,,,,,,,,
Trego,Trego,1,242,1363,1630,,,,,,,,,,,,,,,,,,,,
Wabaunsee,Wabaunsee,1,964,2845,3902,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,1,44,770,825,,,,,,,,,,,,,,,,,,,,
Washington,Washington,1,475,2363,2883,,,,,,,,,,,,,,,,,,,,
Wichita,Wichita,1,149,808,968,,,,,,,,,,,,,,,,,,,,
Wilson,Wilson,2,723,3153,3954,,,,,,,,,,,,,,,,,,,,
Woodson,Woodson,2,294,1228,1546,,,,,,,,,,,,,,,,,,,,
Wyandotte,Wyandotte,3,36788,18934,56785,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,
Marshall (pt.),Marshall,1,621,"1,706","2,388",,,,,,,,,,,,,,,,,,,,
Marshall (pt.),Marshall,2,638,"2,023","2,726",,,,,,,,,,,,,,,,,,,,
Miami (pt.),Miami,2,"3,180","7,290","10,697",,,,,,,,,,,,,,,,,,,,
Miami (pt.),Miami,3,"2,067","5,018","7,240",,,,,,,,,,,,,,,,,,,,
Pawnee (pt.),Pawnee,1,612,"1,906","2,567",,,,,,,,,,,,,,,,,,,,
Pawnee (pt.),Pawnee,4,31,139,172,,,,,,,,,,,,,,,,,,,,
